Designator,Mid X,Mid Y,Layer,Rotation
C1,51.8000,-100.8700,top,-90.0000
C2,70.3500,-80.3000,top,180.0000
C3,45.5500,-115.8500,top,90.0000
C4,46.0000,-105.4000,top,90.0000
C5,45.5500,-118.5500,top,-90.0000
C6,45.8000,-99.0000,top,90.0000
C7,76.3000,-52.7000,top,-90.0000
C13,113.7500,-52.6000,top,0.0000
C14,111.7000,-55.9200,top,90.0000
C15,109.1500,-64.1000,top,-90.0000
C16,118.9000,-65.7500,top,-90.0000
C17,114.4000,-65.6300,top,-90.0000
C18,100.5000,-58.5500,top,0.0000
C20,100.3000,-55.0000,top,90.0000
C21,99.2000,-55.0000,top,90.0000
C22,45.6000,-141.1000,top,-90.0000
C39,110.0500,-139.7500,top,0.0000
C40,97.3000,-139.3000,top,-90.0000
C41,96.7000,-135.7000,top,180.0000
C42,104.5000,-131.5500,top,90.0000
C43,61.2500,-132.1000,top,0.0000
C44,53.6500,-129.2500,top,0.0000
C45,51.8500,-128.8500,top,-90.0000
C46,103.5500,-102.6000,top,-90.0000
C47,92.0000,-102.6500,top,-90.0000
C48,45.4000,-122.2000,top,90.0000
C49,45.4500,-127.1000,top,-90.0000
C52,81.3000,-143.6000,top,-90.0000
C54,86.5000,-139.7500,top,90.0000
C55,75.4000,-147.8000,top,-90.0000
C56,99.9000,-126.4500,top,0.0000
C57,97.0000,-119.7000,top,90.0000
C58,98.6000,-128.2000,top,0.0000
C59,93.3000,-125.1500,top,0.0000
C60,103.7000,-109.6000,top,0.0000
C61,108.1000,-114.2000,top,180.0000
C62,83.5000,-127.7000,top,0.0000
C63,84.3000,-125.7000,top,-90.0000
C64,81.3000,-119.4000,top,180.0000
C65,83.1000,-111.4000,top,0.0000
C66,78.8000,-113.0000,top,90.0000
C67,77.8500,-124.4000,top,0.0000
C68,67.3000,-127.3000,top,0.0000
C69,68.8250,-125.3500,top,0.0000
C70,66.3250,-119.0000,top,90.0000
C71,69.8000,-109.4000,top,180.0000
C72,61.7000,-111.3000,top,180.0000
C73,63.0000,-124.4000,top,0.0000
C74,95.8000,-111.9000,top,90.0000
C75,88.7000,-108.7000,top,0.0000
C76,107.0500,-127.5250,top,0.0000
C77,107.2500,-131.9250,top,0.0000
C78,91.7000,-135.5000,top,90.0000
C80,99.3000,-83.2000,top,-45.0000
C81,87.6000,-101.4000,top,-45.0000
C82,76.5057,-90.2484,top,-135.0000
C83,99.4000,-87.9000,top,45.0000
C84,85.9000,-78.1000,top,90.0000
C85,92.8394,-82.0394,top,-45.0000
C86,72.6500,-105.4000,top,180.0000
C87,91.4000,-76.8000,top,0.0000
C88,92.2000,-79.8000,top,180.0000
C89,91.3606,-74.4894,top,0.0000
C95,101.3000,-148.2000,top,180.0000
C96,90.5000,-144.7000,top,180.0000
C97,99.5000,-81.0000,top,45.0000
C98,96.2000,-78.4000,top,45.0000
C99,84.7000,-78.1000,top,90.0000
C100,85.2500,-101.2500,top,-45.0000
